Description	ID	Arabidopsis	Medicago	Coffe
AT1G04550.1	AT1G04590.2_74	1	0	0
AT1G04590.2	AT1G04625.1_75	2	0	0
AT1G04625.1	AT1G04660.1_76	1	0	0
AT1G04660.1	AT1G04670.1_77	1	0	0
AT1G04670.1	AT1G04684.1_78	1	0	0
AT1G04684.1	AT1G04778.1_79	1	0	0
AT1G04778.1	AT1G04800.1_80	1	0	0
AT1G04800.1	AT1G04870.1_81	6	0	0
AT1G04870.1	AT1G04870.2_82	1	0	0
AT1G04870.2	AT1G04890.1_83	1	3	1
AT1G04890.1	AT1G04930.2_84	1	0	0
AT1G04930.2	AT1G04945.3_85	4	0	1
AT1G04945.3	AT1G04970.2_86	1	0	0
AT1G04970.2	AT1G05000.2_87	1	0	0
AT1G05000.2	AT1G05040.2_88	3	0	0
AT1G05040.2	AT1G05065.1_89	2	0	0
AT1G05065.1	AT1G05085.1_90	1	0	0
AT1G05085.1	AT1G05136.1_91	1	0	0
AT1G05136.1	AT1G05180.3_92	1	0	0
AT1G05180.3	AT1G05291.1_93	2	0	0
AT1G05291.1	AT1G05320.3_94	1	0	0
AT1G05320.3	AT1G05330.1_95	3	0	0
AT1G05330.1	AT1G05380.2_96	1	0	0
AT1G05380.2	AT1G05400.2_97	2	0	0
AT1G05400.2	AT1G05450.1_98	2	0	0
AT1G05450.1	AT1G05550.2_99	1	0	0
AT1G05550.2	AT1G05615.1_100	2	0	0
AT1G05615.1	AT1G05770.1_101	1	0	0
AT1G05770.1	AT1G05800.1_102	2	0	0
AT1G05800.1	AT1G05835.1_103	2	1	1
AT1G05835.1	AT1G05860.1_104	1	0	0
AT1G05860.1	AT1G05870.4_105	3	1	0
AT1G05870.4	AT1G05920.1_106	6	0	0
AT1G05920.1	AT1G05925.1_107	1	0	0
AT1G05925.1	AT1G05950.1_108	1	0	0
AT1G05950.1	AT1G06040.2_109	1	1	0
AT1G06040.2	AT1G06050.1_110	1	0	0
AT1G06050.1	AT1G06080.1_111	1	0	0
AT1G06080.1	AT1G06148.2_112	8	0	1
AT1G06148.2	AT1G06150.1_113	2	0	0
AT1G06150.1	AT1G06180.1_114	1	0	0
AT1G06180.1	AT1G06190.2_115	5	3	5
AT1G06190.2	AT1G06225.1_116	1	0	0
AT1G06225.1	AT1G06280.1_117	2	2	0
AT1G06280.1	AT1G06320.1_118	1	0	0
AT1G06320.1	AT1G06420.2_119	1	0	0
AT1G06420.2	AT1G06450.1_120	2	0	0
AT1G06450.1	AT1G06470.2_121	1	0	0
AT1G06470.2	AT1G06475.1_122	2	0	0
AT1G06475.1	AT1G06500.4_123	1	0	0
AT1G06500.4	AT1G06540.1_124	4	0	0
AT1G06540.1	AT1G06670.1_125	1	0	0
AT1G06670.1	AT1G06680.2_126	1	0	0
AT1G06680.2	AT1G06770.2_127	1	0	0
AT1G06770.2	AT1G06810.1_128	1	0	0
AT1G06810.1	AT1G06850.2_129	1	0	0
AT1G06850.2	AT1G06925.1_130	1	0	0
AT1G06925.1	AT1G06930.1_131	1	0	0
AT1G06930.1	AT1G07025.1_132	1	0	0
AT1G07025.1	AT1G07060.1_133	1	0	0
AT1G07060.1	AT1G07120.1_134	1	0	0
AT1G07120.1	AT1G07190.1_135	1	2	0
AT1G07190.1	AT1G07200.1_136	1	0	0
AT1G07200.1	AT1G07300.1_137	1	0	0
AT1G07300.1	AT1G07310.1_138	1	0	0
AT1G07310.1	AT1G07350.2_139	1	0	0
AT1G07350.2	AT1G07440.2_140	1	0	0
AT1G07440.2	AT1G07460.1_141	1	1	0
AT1G07460.1	AT1G07476.1_142	1	0	0
AT1G07476.1	AT1G07485.1_143	1	0	0
AT1G07485.1	AT1G07500.1_144	1	0	0
AT1G07500.1	AT1G07610.1_145	1	0	0
AT1G07610.1	AT1G07620.1_146	2	0	0
AT1G07620.1	AT1G07660.2_147	1	0	0
AT1G07660.2	AT1G07680.1_148	10	14	6
AT1G07680.1	AT1G07690.1_149	1	0	0
AT1G07690.1	AT1G07700.1_150	1	0	0
AT1G07700.1	AT1G07730.2_151	3	0	0
AT1G07730.2	AT1G07745.2_152	2	0	0
AT1G07745.2	AT1G07860.1_153	2	0	0
AT1G07860.1	AT1G07870.2_154	1	0	0
AT1G07870.2	AT1G07885.1_155	1	0	0
AT1G07885.1	AT1G07901.1_156	1	0	0
AT1G07901.1	AT1G07980.1_157	1	0	0
AT1G07980.1	AT1G08005.1_158	1	0	0
AT1G08005.1	AT1G08010.2_159	1	0	0
AT1G08010.2	AT1G08032.1_160	5	1	1
AT1G08032.1	AT1G08035.1_161	1	0	0
AT1G08035.1	AT1G08120.1_162	1	0	0
AT1G08120.1	AT1G08160.1_163	1	0	0
AT1G08160.1	AT1G08165.1_164	1	0	0
AT1G08165.1	AT1G08170.1_165	1	0	0
AT1G08170.1	AT1G08180.1_166	1	1	1
AT1G08180.1	AT1G08220.2_167	1	0	0
AT1G08220.2	AT1G08270.2_168	1	0	0
AT1G08270.2	AT1G08300.1_169	2	0	0
AT1G08300.1	AT1G08340.1_170	1	0	0
AT1G08340.1	AT1G08380.1_171	1	0	0
AT1G08380.1	AT1G08570.2_172	1	2	1
AT1G08570.2	AT1G08570.4_173	2	0	0
AT1G08570.4	AT1G08660.1_174	2	0	0
AT1G08660.1	AT1G08670.1_175	3	2	2
AT1G08670.1	AT1G08695.1_176	1	0	0
AT1G08695.1	AT1G08800.2_177	4	0	0
AT1G08800.2	AT1G08810.2_178	2	0	0
AT1G08810.2	AT1G08845.2_179	1	0	0
AT1G08845.2	AT1G08910.1_180	2	0	0
AT1G08910.1	AT1G09026.1_181	1	0	0
AT1G09026.1	AT1G09100.1_182	1	0	0
AT1G09100.1	AT1G09176.1_183	1	1	0
AT1G09176.1	AT1G09195.1_184	1	0	0
AT1G09195.1	AT1G09260.1_185	1	0	0
AT1G09260.1	AT1G09320.1_186	1	0	0
AT1G09320.1	AT1G09360.1_187	1	0	0
AT1G09360.1	AT1G09370.1_188	1	0	0
AT1G09370.1	AT1G09483.1_189	1	0	0
AT1G09483.1	AT1G09520.1_190	1	0	0
AT1G09520.1	AT1G09530.2_191	1	0	0
AT1G09530.2	AT1G09575.1_192	2	0	0
AT1G09575.1	AT1G09625.1_193	1	0	0
AT1G09625.1	AT1G09640.2_194	1	0	0
AT1G09640.2	AT1G09680.1_195	1	0	0
AT1G09680.1	AT1G09700.1_196	5	6	5
AT1G09700.1	AT1G09710.2_197	1	0	0
AT1G09710.2	AT1G09730.2_198	2	0	0
AT1G09730.2	AT1G09770.1_199	2	0	0
AT1G09770.1	AT1G09932.2_200	1	3	1
AT1G09932.2	AT1G09995.1_201	2	0	0
AT1G09995.1	AT1G10040.2_202	1	0	0
AT1G10040.2	AT1G10060.1_203	2	0	1
AT1G10060.1	AT1G10100.1_204	1	0	0
AT1G10100.1	AT1G10220.1_205	1	0	0
AT1G10220.1	AT1G10220.2_206	1	0	0
AT1G10220.2	AT1G10240.1_207	1	0	0
AT1G10240.1	AT1G10250.1_208	1	0	0
AT1G10250.1	AT1G10280.1_209	1	0	0
AT1G10280.1	AT1G10417.1_210	3	1	0
AT1G10417.1	AT1G10470.1_211	1	0	0
AT1G10470.1	AT1G10500.1_212	1	0	0
AT1G10500.1	AT1G10530.1_213	1	2	1
AT1G10530.1	AT1G10570.2_214	5	6	2
AT1G10570.2	AT1G10586.1_215	3	3	0
AT1G10586.1	AT1G10586.2_216	2	0	0
AT1G10586.2	AT1G10600.2_217	1	0	0
AT1G10600.2	AT1G10652.1_218	1	0	0
AT1G10652.1	AT1G10657.3_219	1	0	0
AT1G10657.3	AT1G10657.4_220	3	0	1
AT1G10657.4	AT1G10717.1_221	1	0	0
AT1G10717.1	AT1G10790.1_222	8	0	0
AT1G10790.1	AT1G10800.1_223	1	0	0
AT1G10800.1	AT1G10830.2_224	1	0	0
AT1G10830.2	AT1G10840.2_225	1	0	0
AT1G10840.2	AT1G10880.1_226	1	0	0
AT1G10880.1	AT1G10990.2_227	1	0	0
AT1G10990.2	AT1G11070.1_228	2	0	0
AT1G11070.1	AT1G11110.1_229	3	2	4
AT1G11110.1	AT1G11112.1_230	1	0	0
AT1G11112.1	AT1G11145.1_231	1	0	0
AT1G11145.1	AT1G11170.2_232	1	0	0
AT1G11170.2	AT1G11270.3_233	1	0	0
AT1G11270.3	AT1G11310.1_234	1	0	0
AT1G11310.1	AT1G11370.1_235	22	18	14
AT1G11370.1	AT1G11470.1_236	1	0	0
AT1G11470.1	AT1G11520.1_237	1	0	0
AT1G11520.1	AT1G11572.1_238	1	0	0
AT1G11572.1	AT1G11608.1_239	1	0	0
AT1G11608.1	AT1G11684.1_240	1	0	0
AT1G11684.1	AT1G11690.1_241	1	0	0
AT1G11690.1	AT1G11720.2_242	1	0	0
AT1G11720.2	AT1G11785.1_243	2	2	1
AT1G11785.1	AT1G11790.2_244	1	0	0
AT1G11790.2	AT1G11840.5_245	2	0	0
AT1G11840.5	AT1G11850.3_246	1	0	0
AT1G11850.3	AT1G11850.4_247	1	0	0
AT1G11850.4	AT1G11925.1_248	2	0	0
AT1G11925.1	AT1G11970.1_249	1	0	0
AT1G11970.1	AT1G11980.1_250	1	0	0
AT1G11980.1	AT1G11990.1_251	1	0	0
AT1G11990.1	AT1G12064.1_252	2	2	1
AT1G12064.1	AT1G12120.1_253	1	0	0
AT1G12120.1	AT1G12180.1_254	1	0	0
AT1G12180.1	AT1G12211.1_255	1	0	0
AT1G12211.1	AT1G12244.1_256	1	0	0
AT1G12244.1	AT1G12250.1_257	1	0	0
AT1G12250.1	AT1G12411.1_258	1	0	0
AT1G12411.1	AT1G12423.1_259	1	0	0
AT1G12423.1	AT1G12450.1_260	1	0	0
AT1G12450.1	AT1G12451.1_261	6	2	1
AT1G12451.1	AT1G12520.3_262	1	0	0
AT1G12520.3	AT1G12530.1_263	2	0	0
AT1G12530.1	AT1G12660.1_264	1	0	0
AT1G12660.1	AT1G12665.1_265	1	0	0
AT1G12665.1	AT1G12672.1_266	1	0	0
AT1G12672.1	AT1G12672.2_267	1	0	0
AT1G12672.2	AT1G12805.1_268	5	0	0
AT1G12805.1	AT1G12810.2_269	1	0	0
AT1G12810.2	AT1G12830.1_270	1	0	0
AT1G12830.1	AT1G12845.1_271	1	1	1
AT1G12845.1	AT1G12855.1_272	1	0	0
AT1G12855.1	AT1G12900.2_273	3	0	0
AT1G12900.2	AT1G12938.1_274	1	0	0
AT1G12938.1	AT1G12960.1_275	1	0	0
AT1G12960.1	AT1G12980.1_276	1	0	0
AT1G12980.1	AT1G13050.2_277	1	0	0
AT1G13050.2	AT1G13220.1_278	1	0	0
AT1G13220.1	AT1G13270.2_279	1	0	0
AT1G13270.2	AT1G13450.3_280	1	0	0
AT1G13450.3	AT1G13485.1_281	1	0	0
AT1G13485.1	AT1G13580.1_282	1	0	0
AT1G13580.1	AT1G13609.1_283	1	0	0
AT1G13609.1	AT1G13609.2_284	3	0	0
AT1G13609.2	AT1G13610.2_285	1	0	0
AT1G13610.2	AT1G13650.2_286	1	0	0
AT1G13650.2	AT1G13670.1_287	2	0	0
AT1G13670.1	AT1G13755.1_288	1	0	0
AT1G13755.1	AT1G13760.1_289	1	0	0
AT1G13760.1	AT1G13810.1_290	1	0	0
AT1G13810.1	AT1G13920.1_291	1	0	0
AT1G13920.1	AT1G13960.1_292	1	0	0
AT1G13960.1	AT1G14048.1_293	4	4	3
AT1G14048.1	AT1G14150.2_294	1	0	0
AT1G14150.2	AT1G14170.3_295	2	0	0
AT1G14170.3	AT1G14180.1_296	5	7	2
AT1G14180.1	AT1G14180.2_297	1	0	0
AT1G14180.2	AT1G14225.1_298	1	0	0
AT1G14225.1	AT1G14260.2_299	1	0	0
AT1G14260.2	AT1G14270.1_300	2	0	0
AT1G14270.1	AT1G14270.4_301	1	3	1
AT1G14270.4	AT1G14315.1_302	3	0	0
AT1G14315.1	AT1G14320.2_303	1	0	0
AT1G14320.2	AT1G14455.1_304	1	0	0
AT1G14455.1	AT1G14470.1_305	1	0	0
AT1G14470.1	AT1G14490.1_306	2	1	0
AT1G14490.1	AT1G14549.1_307	1	0	0
AT1G14549.1	AT1G14590.1_308	1	0	0
AT1G14590.1	AT1G14600.1_309	3	2	2
AT1G14600.1	AT1G14630.1_310	2	0	0
AT1G14630.1	AT1G14642.1_311	2	0	1
AT1G14642.1	AT1G14660.2_312	1	0	0
AT1G14660.2	AT1G14688.1_313	2	0	0
AT1G14688.1	AT1G14750.2_314	1	0	0
AT1G14750.2	AT1G14755.1_315	1	0	0
AT1G14755.1	AT1G14760.1_316	1	0	0
AT1G14760.1	AT1G14760.2_317	1	0	0
AT1G14760.2	AT1G14760.3_318	1	0	0
AT1G14760.3	AT1G14800.1_319	1	0	0
AT1G14800.1	AT1G14910.1_320	1	0	0
AT1G14910.1	AT1G14970.1_321	1	0	0
AT1G14970.1	AT1G15015.1_322	7	4	3
AT1G15015.1	AT1G15040.2_323	1	0	0
AT1G15040.2	AT1G15045.1_324	1	0	0
AT1G15045.1	AT1G15120.2_325	1	0	0
AT1G15120.2	AT1G15165.1_326	1	0	0
AT1G15165.1	AT1G15180.2_327	1	0	0
AT1G15180.2	AT1G15190.1_328	1	0	0
AT1G15190.1	AT1G15260.1_329	1	0	0
AT1G15260.1	AT1G15290.1_330	1	0	0
AT1G15290.1	AT1G15320.2_331	1	0	0
AT1G15320.2	AT1G15340.1_332	2	0	0
AT1G15340.1	AT1G15385.1_333	2	1	0
AT1G15385.1	AT1G15415.1_334	1	0	0
AT1G15415.1	AT1G15420.1_335	1	0	0
AT1G15420.1	AT1G15590.2_336	1	0	0
AT1G15590.2	AT1G15757.1_337	2	0	0
AT1G15757.1	AT1G15772.1_338	16	0	0
AT1G15772.1	AT1G15790.2_339	1	0	0
AT1G15790.2	AT1G15850.1_340	2	0	0
AT1G15850.1	AT1G15885.1_341	1	0	0
AT1G15885.1	AT1G15970.1_342	1	0	0
AT1G15970.1	AT1G16022.1_343	6	3	4
AT1G16022.1	AT1G16025.1_344	1	0	0
AT1G16025.1	AT1G16060.2_345	1	0	0
AT1G16060.2	AT1G16090.1_346	1	0	0
AT1G16090.1	AT1G16240.2_347	1	0	0
AT1G16240.2	AT1G16250.1_348	7	3	1
AT1G16250.1	AT1G16410.2_349	4	4	2
AT1G16410.2	AT1G16515.1_350	1	0	0
AT1G16515.1	AT1G16560.4_351	1	0	0
AT1G16560.4	AT1G16640.1_352	1	0	0
AT1G16640.1	AT1G16705.2_353	1	0	0
AT1G16705.2	AT1G16730.1_354	2	0	0
AT1G16730.1	AT1G16820.1_355	1	0	0
AT1G16820.1	AT1G16820.2_356	1	0	0
AT1G16820.2	AT1G16880.2_357	1	0	0
AT1G16880.2	AT1G17080.1_358	1	0	0
AT1G17080.1	AT1G17090.2_359	4	2	2
AT1G17090.2	AT1G17110.2_360	2	0	0
AT1G17110.2	AT1G17200.2_361	2	0	0
AT1G17200.2	AT1G17235.1_362	1	0	0
AT1G17235.1	AT1G17285.1_363	1	0	0
AT1G17285.1	AT1G17300.1_364	1	0	0
AT1G17300.1	AT1G17330.1_365	1	0	0
AT1G17330.1	AT1G17340.1_366	1	0	0
AT1G17340.1	AT1G17510.1_367	1	0	0
AT1G17510.1	AT1G17545.1_368	1	0	0
AT1G17545.1	AT1G17744.1_369	1	0	0
AT1G17744.1	AT1G17780.1_370	1	0	0
AT1G17780.1	AT1G17780.2_371	1	0	0
AT1G17780.2	AT1G17800.1_372	1	0	0
AT1G17800.1	AT1G17850.2_373	2	10	2
AT1G17850.2	AT1G17930.1_374	2	0	0
AT1G17930.1	AT1G17960.1_375	1	0	0
AT1G17960.1	AT1G17980.2_376	1	0	0
AT1G17980.2	AT1G18020.1_377	2	0	0
AT1G18020.1	AT1G18050.1_378	3	0	0
AT1G18050.1	AT1G18060.1_379	1	0	0
AT1G18060.1	AT1G18130.1_380	1	0	0
AT1G18130.1	AT1G18220.1_381	1	0	0
AT1G18220.1	AT1G18265.1_382	1	0	0
AT1G18265.1	AT1G18270.3_383	1	0	0
AT1G18270.3	AT1G18280.1_384	3	0	0
AT1G18280.1	AT1G18360.1_385	1	0	0
AT1G18360.1	AT1G18390.2_386	1	0	0
AT1G18390.2	AT1G18440.1_387	5	11	0
AT1G18440.1	AT1G18570.1_388	1	0	0
AT1G18570.1	AT1G18610.1_389	2	0	0
AT1G18610.1	AT1G18710.1_390	2	1	1
AT1G18710.1	AT1G18730.4_391	4	1	1
AT1G18730.4	AT1G18750.2_392	2	0	0
AT1G18750.2	AT1G18760.1_393	2	0	0
AT1G18760.1	AT1G18770.1_394	1	0	0
AT1G18770.1	AT1G18773.1_395	1	0	0
AT1G18773.1	AT1G18810.1_396	1	0	0
AT1G18810.1	AT1G18871.1_397	1	0	0
AT1G18871.1	AT1G19010.2_398	1	0	0
AT1G19010.2	AT1G19040.1_399	2	0	0
AT1G19040.1	AT1G19050.1_400	1	0	0
AT1G19050.1	AT1G19086.1_401	4	6	2
AT1G19086.1	AT1G19115.3_402	1	0	0
AT1G19115.3	AT1G19170.1_403	3	0	0
AT1G19170.1	AT1G19180.2_404	1	1	0
AT1G19180.2	AT1G19394.1_405	1	0	0
AT1G19394.1	AT1G19396.2_406	1	0	0
AT1G19396.2	AT1G19396.3_407	1	0	0
AT1G19396.3	AT1G19397.1_408	2	0	0
AT1G19397.1	AT1G19550.1_409	1	0	0
AT1G19550.1	AT1G19620.1_410	1	0	0
AT1G19620.1	AT1G19960.1_411	1	0	0
AT1G19960.1	AT1G20065.1_412	1	0	0
AT1G20065.1	AT1G20065.2_413	1	0	0
AT1G20065.2	AT1G20070.1_414	1	0	0
AT1G20070.1	AT1G20100.2_415	1	0	0
AT1G20100.2	AT1G20130.2_416	1	0	0
AT1G20130.2	AT1G20240.1_417	2	0	0
AT1G20240.1	AT1G20290.1_418	1	0	0
AT1G20290.1	AT1G20360.1_419	1	0	0
AT1G20360.1	AT1G20400.1_420	1	0	0
AT1G20400.1	AT1G20405.1_421	1	0	0
AT1G20405.1	AT1G20440.1_422	1	0	0
AT1G20440.1	AT1G20590.1_423	1	0	0
AT1G20590.1	AT1G20620.4_424	1	0	0
AT1G20620.4	AT1G20690.1_425	1	0	0
AT1G20690.1	AT1G20696.2_426	1	0	0
AT1G20696.2	AT1G20790.1_427	1	0	0
AT1G20790.1	AT1G20795.1_428	1	0	0
AT1G20795.1	AT1G20800.2_429	4	0	0
AT1G20800.2	AT1G20830.1_430	2	0	0
AT1G20830.1	AT1G20875.1_431	1	0	0
AT1G20875.1	AT1G20910.1_432	1	0	0
AT1G20910.1	AT1G20920.2_433	4	0	1
AT1G20920.2	AT1G20967.1_434	1	0	0
AT1G20967.1	AT1G20970.1_435	1	0	0
AT1G20970.1	AT1G21065.1_436	1	0	0
AT1G21065.1	AT1G21080.2_437	1	0	0
AT1G21080.2	AT1G21245.1_438	1	0	0
AT1G21245.1	AT1G21280.1_439	1	0	0
AT1G21280.1	AT1G21281.1_440	1	0	0
AT1G21281.1	AT1G21320.1_441	1	0	0
AT1G21320.1	AT1G21323.1_442	1	0	0
AT1G21323.1	AT1G21327.1_443	1	0	0
AT1G21327.1	AT1G21340.1_444	1	0	0
AT1G21340.1	AT1G21460.1_445	1	0	0
AT1G21460.1	AT1G21470.1_446	18	23	16
AT1G21470.1	AT1G21475.1_447	1	0	0
AT1G21475.1	AT1G21500.1_448	1	0	0
AT1G21500.1	AT1G21520.1_449	1	0	0
AT1G21520.1	AT1G21528.1_450	1	0	0
AT1G21528.1	AT1G21560.1_451	1	0	0
AT1G21560.1	AT1G21650.2_452	3	0	0
AT1G21650.2	AT1G21650.3_453	4	3	1
AT1G21650.3	AT1G21651.1_454	1	0	0
AT1G21651.1	AT1G21738.1_455	1	0	0
AT1G21738.1	AT1G21940.1_456	1	0	0
AT1G21940.1	AT1G21950.1_457	1	0	0
AT1G21950.1	AT1G21970.1_458	1	0	0
AT1G21970.1	AT1G21975.1_459	1	0	0
AT1G21975.1	AT1G22000.1_460	1	0	0
AT1G22000.1	AT1G22010.1_461	1	0	0
AT1G22010.1	AT1G22067.1_462	1	0	0
AT1G22067.1	AT1G22080.2_463	1	0	0
AT1G22080.2	AT1G22090.1_464	2	0	0
AT1G22090.1	AT1G22120.1_465	1	0	0
AT1G22120.1	AT1G22140.2_466	1	0	0
AT1G22140.2	AT1G22240.1_467	1	0	0
AT1G22240.1	AT1G22290.1_468	1	0	0
AT1G22290.1	AT1G22310.1_469	2	0	0
AT1G22310.1	AT1G22310.2_470	1	0	0
AT1G22310.2	AT1G22420.1_471	1	0	0
AT1G22420.1	AT1G22510.2_472	1	0	0
AT1G22510.2	AT1G22520.2_473	1	0	0
AT1G22520.2	AT1G22590.1_474	1	0	0
AT1G22590.1	AT1G22620.1_475	1	0	0
AT1G22620.1	AT1G22640.1_476	1	0	1
AT1G22640.1	AT1G22651.1_477	3	0	1
AT1G22651.1	AT1G22700.2_478	1	0	0
AT1G22700.2	AT1G22700.3_479	2	0	0
AT1G22700.3	AT1G22720.1_480	1	0	0
AT1G22720.1	AT1G22767.1_481	1	0	0
AT1G22767.1	AT1G22885.2_482	1	0	0
AT1G22885.2	AT1G22910.3_483	2	0	0
AT1G22910.3	AT1G22960.1_484	1	0	0
AT1G22960.1	AT1G22970.1_485	4	2	3
AT1G22970.1	AT1G23037.1_486	3	1	1
AT1G23037.1	AT1G23060.2_487	1	0	0
AT1G23060.2	AT1G23074.1_488	2	0	0
AT1G23074.1	AT1G23145.1_489	1	0	0
AT1G23145.1	AT1G23240.2_490	1	0	0
AT1G23240.2	AT1G23250.1_491	1	0	0
AT1G23250.1	AT1G23270.1_492	1	0	0
AT1G23270.1	AT1G23360.3_493	1	0	0
AT1G23360.3	AT1G23440.2_494	2	0	0
AT1G23440.2	AT1G23510.2_495	1	0	0
AT1G23510.2	AT1G23520.2_496	1	0	0
AT1G23520.2	AT1G23570.3_497	2	0	0
AT1G23570.3	AT1G23590.2_498	1	0	0
AT1G23590.2	AT1G23610.1_499	2	0	0
AT1G23610.1	AT1G23640.1_500	1	0	0
AT1G23640.1	AT1G23650.1_501	1	0	0
AT1G23650.1	AT1G23660.1_502	1	0	0
AT1G23660.1	AT1G23680.1_503	13	0	0
AT1G23680.1	AT1G23700.1_504	1	0	0
AT1G23700.1	AT1G23724.1_505	1	0	0
AT1G23724.1	AT1G23770.1_506	1	0	0
AT1G23770.1	AT1G23850.1_507	1	0	0
AT1G23850.1	AT1G23890.1_508	3	0	0
AT1G23890.1	AT1G23890.2_509	1	0	0
AT1G23890.2	AT1G23910.1_510	1	0	0
AT1G23910.1	AT1G23935.1_511	1	0	0
AT1G23935.1	AT1G23940.1_512	1	0	0
AT1G23940.1	AT1G23950.4_513	1	0	0
AT1G23950.4	AT1G23950.5_514	2	0	0
AT1G23950.5	AT1G23965.1_515	13	0	0
AT1G23965.1	AT1G24000.1_516	1	0	0
AT1G24000.1	AT1G24010.1_517	1	0	0
AT1G24010.1	AT1G24060.1_518	1	0	0
AT1G24060.1	AT1G24095.1_519	1	0	0
AT1G24095.1	AT1G24145.1_520	1	1	1
AT1G24145.1	AT1G24147.1_521	1	0	0
AT1G24147.1	AT1G24148.2_522	1	0	0
AT1G24148.2	AT1G24159.1_523	2	0	0
AT1G24159.1	AT1G24220.1_524	1	0	0
AT1G24220.1	AT1G24256.1_525	1	0	0
AT1G24256.1	AT1G24270.1_526	1	0	0
AT1G24270.1	AT1G24388.1_527	1	0	0
AT1G24388.1	AT1G24390.1_528	1	0	0
AT1G24390.1	AT1G24450.1_529	1	0	0
AT1G24450.1	AT1G24485.3_530	1	0	0
AT1G24485.3	AT1G24520.1_531	3	0	0
AT1G24520.1	AT1G24575.1_532	2	4	0
AT1G24575.1	AT1G24590.1_533	1	0	0
AT1G24590.1	AT1G24620.1_534	1	0	0
AT1G24620.1	AT1G24735.2_535	1	0	0
